City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,teya,60.3778,92.6267,248.39,99,98,1.85,RU,1679342226
295,yulara,-25.2406,130.9889,296.31,33,88,3.66,AU,1679342226
296,san andres,12.5847,-81.7006,303.16,66,20,6.17,CO,1679342226
297,sohag,26.557,31.6948,291.31,37,0,3.26,EG,1679342227
298,palu,-0.8917,119.8707,296.94,96,99,1.04,ID,1679342227
299,port lincoln,-34.7333,135.8667,289.68,84,0,3.77,AU,1679342228
300,luang prabang,19.8856,102.1347,295.73,61,0,0.67,LA,1679342228
301,manokwari,-0.8667,134.0833,298.71,81,100,1.39,ID,1679342229
302,dunedin,-45.8742,170.5036,285.26,67,100,1.34,NZ,1679342229
303,hangu,39.2489,117.7892,284.17,68,18,2.59,CN,1679342230
304,ucluelet,48.9329,-125.5528,282.64,90,100,1.15,CA,1679342067
305,flinders,-34.5833,150.8552,290.47,90,100,1.79,AU,1679342230
306,half moon bay,37.4636,-122.4286,287.82,63,100,3.6,US,1679342216
307,hoa binh,20.8133,105.3383,296.03,97,40,0.73,VN,1679342233
308,changde,29.0464,111.6783,284.61,97,100,1.65,CN,1679342233
309,coos bay,43.3665,-124.2179,282.77,71,100,5.14,US,1679342234
310,temanggung,-7.3162,110.1755,296.63,94,100,0.29,ID,1679342235
311,cayenne,4.9333,-52.3333,298.17,94,75,1.54,GF,1679342235
312,beyneu,45.3167,55.2,279.91,58,4,5.94,KZ,1679342236
313,salalah,17.0151,54.0924,301.2,74,40,1.03,OM,1679342018
314,guilin,25.2819,110.2864,287.21,92,100,0.15,CN,1679342237
315,sukumo,32.9333,132.7333,285.29,87,100,2.36,JP,1679342237
316,coquimbo,-29.9533,-71.3436,295.0,68,0,5.66,CL,1679342237
317,puerto carreno,6.189,-67.4859,309.14,32,20,4.12,CO,1679342238
318,nouakchott,18.0858,-15.9785,296.11,70,0,6.48,MR,1679342238
319,srednekolymsk,67.45,153.6833,247.11,97,100,5.94,RU,1679342239
320,fortuna,40.5982,-124.1573,286.44,62,75,1.34,US,1679342239
321,vaitape,-16.5167,-151.75,301.26,68,7,3.93,PF,1679342240
322,lagunas,-5.2269,-75.6753,303.95,60,99,0.7,PE,1679342240
323,sao joao do piaui,-8.3581,-42.2467,300.5,78,81,0.76,BR,1679342241
324,daru,-9.0763,143.2092,299.58,86,100,2.65,PG,1679342241
325,ponta do sol,32.6667,-17.1,292.04,68,5,2.12,PT,1679342241
326,ostersund,63.1792,14.6357,273.4,69,0,4.63,SE,1679341949
327,quelimane,-17.8786,36.8883,298.12,83,40,2.06,MZ,1679342242
328,itarema,-2.9248,-39.9167,297.2,90,100,3.93,BR,1679342242
329,kloulklubed,7.0419,134.2556,298.43,76,32,7.41,PW,1679342243
330,kuching,1.55,110.3333,298.83,93,20,1.03,MY,1679342243
331,itaituba,-4.2761,-55.9836,304.24,66,40,4.63,BR,1679342244
332,erzin,36.9559,36.2,284.22,87,18,0.82,TR,1679342244
333,namibe,-15.1961,12.1522,296.64,72,93,2.75,AO,1679342245
334,fort nelson,58.8053,-122.7002,273.92,51,20,0.0,CA,1679342245
335,hope,33.6671,-93.5916,287.18,29,100,3.84,US,1679342245
336,alekseyevsk,57.8406,108.3492,245.33,100,40,1.16,RU,1679342246
337,fuerte,17.5381,120.3644,297.2,80,91,1.61,PH,1679342246
338,linares,-35.85,-71.6,304.25,12,4,2.2,CL,1679342247
339,narsaq,60.9167,-46.05,272.7,60,100,6.78,GL,1679342247
340,ust-barguzin,53.45,108.9833,263.69,88,100,3.24,RU,1679342248
341,den helder,52.9599,4.7593,282.05,99,100,6.26,NL,1679342248
342,mount isa,-20.7333,139.5,294.02,78,65,0.0,AU,1679342249
343,dicabisagan,17.0818,122.4157,295.48,90,90,1.77,PH,1679342249
344,faya,18.3851,42.4509,286.44,42,18,3.27,SA,1679342250
345,sulangan,11.1373,123.7228,298.75,76,10,4.89,PH,1679342250
346,biak,-0.9131,122.8766,297.75,85,100,0.39,ID,1679342250
347,mayo,38.8876,-76.5119,286.04,36,0,6.69,US,1679341988
348,komatsu,36.4026,136.4509,279.14,81,40,0.51,JP,1679342251
349,port-de-bouc,43.4,4.9833,287.16,67,0,2.06,FR,1679342251
350,chuncheng,22.1731,111.7886,293.76,97,54,1.42,CN,1679342252
351,grindavik,63.8424,-22.4338,273.41,59,0,8.23,IS,1679342252
352,vozuca,44.3614,18.3578,284.53,88,100,1.35,BA,1679342253
353,key largo,25.0865,-80.4473,296.48,68,95,6.02,US,1679342235
354,pangody,65.85,74.4859,260.42,90,71,4.34,RU,1679342255
355,ribas do rio pardo,-20.4431,-53.7592,298.73,81,93,2.99,BR,1679342256
356,totness,5.8833,-56.3167,299.58,69,52,6.54,SR,1679342256
357,kuhdasht,33.535,47.6061,283.9,58,100,0.17,IR,1679342257
358,saint-augustin,51.226,-58.6502,272.73,74,100,12.28,CA,1679342258
359,qujing,25.4833,103.7833,287.37,52,16,9.49,CN,1679342258
360,vao,-22.6667,167.4833,297.98,67,7,8.43,NC,1679342259
361,alta floresta,-9.8756,-56.0861,302.05,70,40,6.17,BR,1679342259
362,alofi,-19.0595,-169.9187,300.09,83,97,3.09,NU,1679342260
363,belaya gora,68.5333,146.4167,244.19,98,100,0.38,RU,1679342260
364,salinopolis,-0.6136,-47.3561,296.73,94,100,5.88,BR,1679342261
